Genera,MS01_1,MS01_2,MS01_3,MS01_4,MS01_5,MS01_6,MS03_1,MS03_2,MS03_3,MS03_4,MS03_5,MS03_6,MS07_1,MS07_2,MS07_3,MS07_4,MS07_5,MS07_6,MS14_1,MS14_2,MS14_3,MS14_4,MS14_5,MS14_6,MS21_1,MS21_2,MS21_3,MS21_4,MS21_5,MS21_6,MS28_1,MS28_2,MS28_3,MS28_4,MS28_5,MS28_6,MS35_1,MS35_2,MS35_3,MS35_4,MS35_5,MS35_6
Neocosmospora,74,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,5,40,9,10,22,1,2,59,89,136,98,271,80,15,127,40,47,9,11,13,8,34,204,24,11
Aureobasidium,6,81,7,39,382,195,0,1,14,26,312,22,16,29,83,0,3,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Botryotrichum,0,0,0,0,2,1,0,12,0,27,7,0,7,1,5,0,8,13,60,5,3,15,1,4,42,9,46,20,33,83,61,0,1,28,68,170,7,128,0,13,82,131
Saccharomycopsis,0,0,893,1,7,0,29,10,4,0,4,0,0,77,18,12,6,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malassezia,319,7,5,7,30,16,7,291,13,15,25,1,0,43,4,31,11,42,3,0,0,0,0,0,19,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0
Phaeosphaeriaceae_gen_Incertae_sedis,18,0,96,13,0,5,0,0,25,21,16,1,1,6,0,291,0,227,3,0,2,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,3,0,0,0,0,0
Knufia,60,0,0,2,2,155,0,0,199,1,10,5,6,65,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,0,8,0,3,0,2,0,1,0
Solicoccozyma,0,73,0,26,0,0,66,43,198,0,0,10,12,16,18,0,3,0,3,2,1,0,0,0,5,0,1,0,2,2,5,1,0,0,11,0,2,0,0,0,0,0
Naganishia,44,0,0,0,115,17,0,37,6,25,80,32,18,50,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0
Meruliaceae_gen_Incertae_sedis,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaetothyriales_gen_Incertae_sedis,41,1,0,2,0,11,0,2,212,4,39,0,10,0,1,33,0,25,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,3,1,0,0,0,0,1
Trichocladium,0,0,0,0,0,0,0,0,0,9,0,0,1,0,1,0,2,8,63,1,1,25,1,2,9,0,55,39,42,22,3,0,0,6,7,9,6,6,0,44,10,4
Dothiora,0,5,0,0,0,46,216,0,0,4,0,22,0,45,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vishniacozyma,11,38,0,5,0,10,12,4,0,3,0,44,63,35,44,0,7,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
Myriodontium,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,1,1,1,0,0,36,0,8,0,0,0,1,0,37,117,0
Thermomyces,0,8,49,9,0,5,59,2,0,0,7,0,0,100,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0
